ts_ms,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
7669.8,0.5273438,-7.7617188,-8.5000000,0.9479370,0.3033447,-0.0928955,-0.0278931,-6.1621094,-17.8574219,7.5410156
7675.2,-0.2617188,-7.7304688,-8.9648438,0.9475708,0.2858887,-0.1408081,-0.0247192,-5.8691406,-18.5156250,7.9160156
7681.4,-1.0195312,-7.5273438,-9.1367188,0.9438477,0.2666626,-0.1939697,-0.0206299,-5.5527344,-18.9121094,8.2597656
7686.0,-1.4140625,-7.3359375,-9.2148438,0.9374390,0.2489014,-0.2429810,-0.0161133,-5.2265625,-19.0585938,8.5820312
7689.8,-1.5078125,-7.1367188,-9.1484375,0.9284668,0.2315674,-0.2901611,-0.0108032,-4.9179688,-19.0390625,8.9218750
7695.0,-0.4726562,-7.6875000,-9.5312500,0.9165039,0.2133789,-0.3382568,-0.0042114,-4.5976562,-18.8535156,9.2597656
7701.4,-0.2265625,-7.8085938,-9.5273438,0.9009399,0.1937866,-0.3881836,0.0041504,-4.2617188,-18.5371094,9.6132812
7706.2,-0.0781250,-8.0195312,-9.6835938,0.8834229,0.1747437,-0.4345093,0.0134888,-3.8984375,-18.0800781,9.9550781
7807.0,3.4648438,-4.3750000,-5.9101562,0.4984741,-0.0524902,-0.8439331,0.1912842,0.1113281,-1.7773438,-1.6699219
7830.4,3.3476562,-4.6250000,-5.9335938,0.5001831,-0.0361328,-0.8458862,0.1816406,0.8593750,2.3886719,-6.2539062
7835.0,6.8750000,-2.1445312,-10.9843750,0.5090332,-0.0224609,-0.8424683,0.1750488,1.0253906,3.4863281,-7.4980469
7840.2,6.7539062,-2.8554688,-11.2343750,0.5203247,-0.0059204,-0.8375244,0.1667480,0.9550781,3.7050781,-7.6992188
7845.8,6.4335938,-3.6953125,-11.1757812,0.5310669,0.0093384,-0.8322754,0.1587524,0.9023438,4.1015625,-8.0410156
7850.2,5.7929688,-4.8593750,-11.0156250,0.5437012,0.0266724,-0.8254395,0.1492310,0.8515625,4.6328125,-8.4433594
7855.2,3.6640625,-7.5351562,-10.0117188,0.5562134,0.0430298,-0.8180542,0.1397705,0.7480469,5.2363281,-8.9218750
7860.2,1.7070312,-9.1875000,-9.4257812,0.5714722,0.0620728,-0.8081665,0.1281128,0.5957031,5.9199219,-9.5019531
7865.8,-0.6640625,-10.9179688,-8.5156250,0.5857544,0.0791016,-0.7980957,0.1170044,0.4570312,6.7597656,-10.2148438
7870.4,-3.3125000,-12.8789062,-7.5585938,0.6061401,0.0761719,-0.7872314,0.0842896,0.3222656,7.6699219,-11.0644531
7875.4,-8.8476562,-15.9609375,-5.8906250,0.6242676,0.0787964,-0.7752686,0.0551758,0.1953125,8.6093750,-12.0585938
