SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
35.4379,0.1875000,0.5976562,-0.7265625,0.5957031,-0.0009155,0.0209961,0.8029175,-1.0742188,-0.4082031,-1.5644531
35.5379,-0.1796875,-0.1562500,0.2929688,0.6591797,-0.0038452,-0.0347290,0.7511597,-0.6835938,-0.8437500,-1.6289062
35.6379,0.2460938,0.0429688,-0.5351562,0.6955566,0.0131836,-0.0673828,0.7152100,0.0312500,-0.5156250,-0.9101562
35.7379,0.4648438,-0.0507812,1.8789062,0.7146606,0.0479126,-0.0692139,0.6943970,0.4511719,-0.5175781,-0.5468750
35.8379,1.0273438,1.8007812,8.7109375,0.7072144,0.0815430,-0.0490112,0.7005615,1.0195312,-0.2832031,0.2128906
35.9379,2.0742188,1.3085938,-5.3789062,0.7142334,0.0286255,-0.0560913,0.6970825,-1.0781250,0.7753906,-0.3789062
36.0379,-0.5625000,-1.2265625,-13.8632812,0.7186890,0.0034180,-0.0369873,0.6943359,-0.1542969,0.8222656,-0.2539062
36.1379,-1.6367188,-0.9921875,-5.8476562,0.7142334,0.0499878,-0.0463257,0.6965942,0.6250000,-1.1074219,0.1660156
36.2379,1.6093750,0.5000000,9.1718750,0.7130127,0.1019897,-0.0615234,0.6909790,0.2636719,-0.9863281,-0.1269531
36.3379,2.1054688,0.2773438,7.1875000,0.7113037,0.1118774,-0.0579224,0.6915283,0.1933594,-0.0761719,0.0195312
36.4379,2.3750000,0.9882812,5.7421875,0.7009277,0.0742798,-0.0548096,0.7072754,-0.3828125,0.8554688,0.3691406
36.5379,0.1992188,1.0312500,-8.5039062,0.6872559,0.0088501,-0.0715332,0.7227783,-1.1660156,0.7617188,0.3925781
36.6379,-0.6093750,0.5000000,-11.9296875,0.6808472,-0.0298462,-0.0595703,0.7294312,-0.1464844,0.8085938,0.0644531
36.7379,-0.2617188,-0.4023438,-1.7968750,0.6813354,0.0222778,-0.0557861,0.7294922,1.0605469,-0.7500000,-0.3203125
36.8379,0.5664062,0.3164062,10.5781250,0.6810303,0.0972900,-0.0654297,0.7228394,0.9375000,-1.1972656,-0.3515625
36.9379,2.7929688,0.0507812,4.9062500,0.6837769,0.0954590,-0.0672607,0.7202759,-0.2441406,0.2324219,0.0292969
37.0379,0.9414062,1.7812500,-1.3281250,0.6760254,0.0537720,-0.0669556,0.7318115,-0.6191406,0.5566406,0.3183594
37.1379,0.7968750,1.0195312,-6.1289062,0.6712646,-0.0024414,-0.0679932,0.7380981,-0.7812500,0.8847656,0.0820312
37.2369,-0.8554688,0.0703125,-7.0156250,0.6649170,-0.0143433,-0.0654907,0.7438965,-0.2382812,0.2031250,0.1679688
37.3369,-1.0039062,-0.1210938,2.8203125,0.6582031,0.0442505,-0.0557861,0.7494507,0.8320312,-0.8945312,0.1621094
37.4369,0.7539062,0.0664062,3.4609375,0.6611938,0.0781250,-0.0500488,0.7444458,0.3613281,-0.5839844,-0.2148438
37.5369,0.9960938,-0.1914062,0.9335938,0.6604004,0.0764160,-0.0426025,0.7458496,0.0976562,0.2343750,-0.0292969
37.6369,0.8007812,1.3320312,-0.1171875,0.6551514,0.0699463,-0.0411987,0.7510986,0.0566406,0.1425781,0.0468750
37.7368,1.2890625,2.7968750,0.5937500,0.6463623,0.0656128,-0.0414429,0.7590942,-0.0996094,0.0644531,0.2031250
37.8369,0.4960938,2.5625000,-0.5351562,0.6283569,0.0599365,-0.0415649,0.7745361,-0.0917969,-0.0039062,0.4882812
37.9369,-1.8437500,-1.8320312,-0.8125000,0.6220093,0.0460205,-0.0444946,0.7803955,-0.2773438,0.2265625,0.1347656
38.0369,-2.0000000,-5.3164062,0.2734375,0.6360474,0.0397339,-0.0626221,0.7680664,-0.3867188,-0.1699219,-0.4843750
38.1369,-0.0078125,-1.8554688,1.8320312,0.6404419,0.0457764,-0.0731812,0.7631836,0.1464844,-0.1972656,-0.1328125
38.2369,0.5000000,0.4101562,-0.2500000,0.6365356,0.0367432,-0.0877075,0.7653198,-0.2187500,0.0859375,-0.0332031
38.3369,-0.2070312,0.4023438,-0.3046875,0.6256714,0.0432739,-0.1046753,0.7718506,-0.2929688,-0.4375000,0.3085938
38.4369,0.1523438,0.9726562,0.7968750,0.6216431,0.0444336,-0.0977783,0.7759399,-0.0234375,0.0195312,0.0292969
38.5369,0.1914062,0.2890625,0.2031250,0.6251831,0.0336914,-0.0893555,0.7746582,0.0136719,0.2871094,-0.1425781
38.6368,0.9140625,-0.5703125,-0.8906250,0.6298218,0.0169067,-0.0809326,0.7723389,-0.0800781,0.6230469,-0.1347656
38.7359,-0.4062500,-0.1718750,0.1953125,0.6198120,0.0351562,-0.0925903,0.7784424,-0.0273438,-0.6894531,0.2304688
38.8359,-0.3085938,0.6406250,0.3476562,0.6065063,0.0703125,-0.1450806,0.7785645,-0.5878906,-1.5410156,-0.0429688
38.9359,0.0078125,0.3125000,-0.2382812,0.5898438,0.0924683,-0.1848145,0.7805786,-0.1699219,-0.6992188,0.0937500
39.0359,0.1210938,0.6562500,0.0351562,0.5740356,0.1042480,-0.2566528,0.7705688,-1.0585938,-0.6425781,0.1425781
39.1359,-1.4218750,0.7578125,0.5585938,0.5489502,0.1110840,-0.3407593,0.7551270,-1.3183594,-1.2695312,0.3554688
39.2359,-0.9570312,0.2578125,-0.1796875,0.5139771,0.1278076,-0.3920288,0.7521973,-0.1328125,-0.8105469,0.5371094
39.3359,-0.3242188,0.0468750,1.0703125,0.4718018,0.1745605,-0.4779053,0.7200317,-1.1640625,-2.4140625,0.1347656
39.4359,0.1484375,-0.1757812,0.7421875,0.4166260,0.2230225,-0.5307007,0.7036133,-0.4355469,-1.7675781,0.6191406
39.5359,0.4257812,0.6992188,-0.0351562,0.3566895,0.2706299,-0.5801392,0.6804199,-0.3769531,-1.8886719,0.3046875
39.6359,0.3320312,0.2578125,0.5820312,0.3225098,0.2837524,-0.6441040,0.6329346,-1.2773438,-1.3144531,0.3652344
39.7359,-0.3085938,-0.5429688,0.1445312,0.3226929,0.3049927,-0.6958618,0.5644531,-1.5019531,-0.7636719,-0.4160156
